0.425	553.000
0.475	626.000
0.525	679.000
0.575	619.000
0.625	643.000
0.675	612.000
0.725	615.000
0.775	542.000
0.825	550.000
0.875	545.000
0.925	550.000
0.975	531.000
1.025	543.000
1.075	528.000
1.125	497.000
1.175	488.000
1.225	469.000
1.275	497.000
1.325	525.000
1.375	465.000
1.425	462.000
1.475	452.000
1.525	438.000
1.575	437.000
1.625	400.000
1.675	415.000
1.725	396.000
1.775	378.000
1.825	406.000
1.875	387.000
1.925	370.000
1.975	374.000
2.025	372.000
2.075	340.000
2.125	318.000
2.175	320.000
2.225	298.000
2.275	305.000
2.325	318.000
2.375	318.000
2.425	291.000
2.475	302.000
2.525	285.000
2.575	275.000
2.625	271.000
2.675	251.000
2.725	260.000
2.775	244.000
2.825	251.000
2.875	242.000
2.925	251.000
2.975	235.000
3.025	230.000
3.075	240.000
3.125	228.000
3.175	225.000
3.225	228.000
3.275	234.000
3.325	196.000
3.375	215.000
3.425	193.000
3.475	189.000
3.525	171.000
3.575	199.000
3.625	174.000
3.675	191.000
3.725	198.000
3.775	228.000
3.825	179.000
3.875	179.000
3.925	199.000
3.975	175.000
4.025	160.000
4.075	165.000
4.125	167.000
4.175	170.000
4.225	172.000
4.275	163.000
4.325	147.000
4.375	156.000
4.425	141.000
4.475	163.000
4.525	137.000
4.575	156.000
4.625	166.000
4.675	145.000
4.725	144.000
4.775	152.000
4.825	149.000
4.875	139.000
4.925	129.000
4.975	114.000
5.025	140.000
5.075	113.000
5.125	123.000
5.175	117.000
5.225	147.000
5.275	129.000
5.325	132.000
5.375	110.000
5.425	116.000
5.475	126.000
5.525	115.000
5.575	123.000
5.625	129.000
5.675	134.000
5.725	114.000
5.775	123.000
5.825	106.000
5.875	133.000
5.925	110.000
5.975	108.000
6.025	102.000
6.075	106.000
6.125	112.000
6.175	113.000
6.225	89.000
6.275	127.000
6.325	106.000
6.375	89.000
6.425	95.000
6.475	103.000
6.525	107.000
6.575	94.000
6.625	97.000
6.675	95.000
6.725	73.000
6.775	86.000
6.825	83.000
6.875	87.000
6.925	85.000
6.975	98.000
7.025	90.000
7.075	91.000
7.125	96.000
7.175	90.000
7.225	78.000
7.275	92.000
7.325	98.000
7.375	89.000
7.425	88.000
7.475	91.000
7.525	88.000
7.575	99.000
7.625	70.000
7.675	70.000
7.725	67.000
7.775	110.000
7.825	96.000
7.875	88.000
7.925	87.000
7.975	91.000
8.025	89.000
8.075	70.000
8.125	79.000
8.175	82.000
8.225	88.000
8.275	75.000
8.325	91.000
8.375	76.000
8.425	68.000
8.475	71.000
8.525	85.000
8.575	79.000
8.625	66.000
8.675	82.000
8.725	84.000
8.775	62.000
8.825	94.000
8.875	73.000
8.925	85.000
8.975	72.000
9.025	77.000
9.075	64.000
9.125	86.000
9.175	67.000
9.225	72.000
9.275	70.000
9.325	77.000
9.375	71.000
